Equip ID;Minesite;Equipment;Equip Label;On Site Id;Equipment Type;Model;Status;SerialNumber;Commissioning Date;Parent Product Family;Brand;Product Group;Created Date
4104;Agbaou/Corica;DZ066;DZ066;;D9;D9G;0;AK400316;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;15/09/2024
4105;Agbaou/Corica;DZ067;DZ067;;D9;D9G;0;AK400365;12/31/2018 4:00:00 PM;TRACK-TYPE TRACTOR;CAT;TRACK-TYPE TRACTOR;15/09/2024
6585;Agbaou/Mota;G65;G65;;14;14;-1;F5800202;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;12/06/2025
6590;Agbaou/Mota;G59;G59;;16;16M;-1;B9H00108;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;12/06/2025
6635;Agbaou/Mota;G63;G63;;16;16M;0;B9H00263;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;13/06/2025
6588;Agbaou/Mota;G62;G62;;160;160M;-1;D9T01460;12/31/2018 4:00:00 PM;MOTOR GRADER;CAT;MOTOR GRADER;12/06/2025
6591;Agbaou/Mota;E143;E143;;333;333;-1;TJT20268;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;12/06/2025
6636;Agbaou/Mota;E100;E100;;336;336D2 L;0;YCF00835;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;13/06/2025
6592;Agbaou/Mota;E138;E138;;374;374F L;-1;AP400239;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;12/06/2025
6593;Agbaou/Mota;E129;E129;;390;390F L;-1;HJD20280;12/31/2018 4:00:00 PM;EXCAVATOR;CAT;EXCAVATOR;12/06/2025
6594;Agbaou/Mota;E118;E118;;6015;6015B;-1;FKD00171;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;12/06/2025
6595;Agbaou/Mota;E142;E142;;6015;6015;-1;6B900140;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;12/06/2025
6722;Agbaou/Mota;E147;E147;;6015;6015;-1;6B900187;12/29/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;17/11/2025
6587;Agbaou/Mota;E127;E127;;6030;6030;-1;6P300103;12/31/2018 4:00:00 PM;EXPANDED MINING PRODUCTS;CAT;EXPANDED MINING PRODUCTS;12/06/2025
6596;Agbaou/Mota;RD107;RD107;;773;773D;-1;7ER00582;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6597;Agbaou/Mota;RD112;RD112;;777;777D;-1;FKR02037;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
